state,year,unemployment_rate
Vermont,2012,5.8
Vermont,2013,5.2
Vermont,2014,4.7
Vermont,2015,4.4
Vermont,2016,3.9
Virginia,1992,7.1
Virginia,1993,6.2
Virginia,1994,5.7
Virginia,1995,5
Virginia,1996,5.3
Virginia,1997,5
Virginia,1998,3.5
Virginia,1999,3
Virginia,2000,2.9
Virginia,2001,2.6
Virginia,2002,4.6
Virginia,2003,4.6
Virginia,2004,4.3
Virginia,2005,3.9
Virginia,2006,3.3
Virginia,2007,3.3
Virginia,2008,3.7
Virginia,2009,6.1
Virginia,2010,7.9
Virginia,2011,7.1
Virginia,2012,6.6
Virginia,2013,6.4
Virginia,2014,5.7
Virginia,2015,5.2
Virginia,2016,4.3
Washington,1992,8.1
Washington,1993,8.9
Washington,1994,8
Washington,1995,7.1
Washington,1996,7.5
Washington,1997,6.1
Washington,1998,5.6
Washington,1999,5.6
Washington,2000,5.7
Washington,2001,6.3
Washington,2002,8.3
Washington,2003,8.1
Washington,2004,7.7
Washington,2005,6.4
Washington,2006,5.6
Washington,2007,5.5
Washington,2008,5.3
Washington,2009,7.9
Washington,2010,11.3
Washington,2011,10.5
Washington,2012,9.4
Washington,2013,8.4
Washington,2014,7.1
Washington,2015,6.5
Washington,2016,6.1
West Virginia,1992,12.6
West Virginia,1993,11.8
West Virginia,1994,11
West Virginia,1995,8.6
West Virginia,1996,9.3
West Virginia,1997,8.4
West Virginia,1998,7.5
West Virginia,1999,7.4
West Virginia,2000,6.5
West Virginia,2001,6.1
West Virginia,2002,6.4
West Virginia,2003,6.8
West Virginia,2004,6.3
West Virginia,2005,5.8
West Virginia,2006,5.2
West Virginia,2007,5.1
West Virginia,2008,5.1
West Virginia,2009,6.5
West Virginia,2010,9.4
West Virginia,2011,9.6
West Virginia,2012,8.1
West Virginia,2013,8.2
West Virginia,2014,7.7
West Virginia,2015,7.4
West Virginia,2016,7.3
Wisconsin,1992,5.8
Wisconsin,1993,5.1
Wisconsin,1994,5.7
Wisconsin,1995,4.5
Wisconsin,1996,4.5
Wisconsin,1997,4.4
Wisconsin,1998,3.9
Wisconsin,1999,4
Wisconsin,2000,3.8
Wisconsin,2001,4.5
Wisconsin,2002,6.1
Wisconsin,2003,6.4
Wisconsin,2004,6
Wisconsin,2005,5.5
Wisconsin,2006,5.2
Wisconsin,2007,5.5
Wisconsin,2008,5.2
Wisconsin,2009,7.7
Wisconsin,2010,10.1
Wisconsin,2011,8.8
Wisconsin,2012,7.9
Wisconsin,2013,7.8
Wisconsin,2014,6.4
Wisconsin,2015,5.4
Wisconsin,2016,4.6
Wyoming,1992,7.2
Wyoming,1993,6.5
Wyoming,1994,6.6
Wyoming,1995,6
Wyoming,1996,6
Wyoming,1997,6.4
Wyoming,1998,5.7
Wyoming,1999,6
Wyoming,2000,5.1
Wyoming,2001,4.8
Wyoming,2002,4.8
Wyoming,2003,5.4
Wyoming,2004,4.9
Wyoming,2005,4.4
Wyoming,2006,4.1
Wyoming,2007,3.5
Wyoming,2008,3.7
Wyoming,2009,5.2
Wyoming,2010,8.1
Wyoming,2011,7.2
Wyoming,2012,6.5
Wyoming,2013,6.1
Wyoming,2014,5.3
Wyoming,2015,4.6
Wyoming,2016,5.9
